"Date","MISC MK Equity","PBK MK Equity","HAP MK Equity","KLK MK Equity","HLBK MK Equity","PTG MK Equity","TOPG MK Equity","GENM MK Equity","DIGI MK Equity","CIMB MK Equity","SUCB MK Equity","AXIATA MK Equity","PEP MK Equity","MAXIS MK Equity","HART MK Equity","SIME MK Equity","PCHEM MK Equity","NESZ MK Equity","DLG MK Equity","MAY MK Equity","TNB MK Equity","PETD MK Equity","T MK Equity","GENT MK Equity","IOI MK Equity","HLFG MK Equity","RHBBANK MK Equity","SDPL MK Equity","IHH MK Equity","PMAH MK Equity","MRDIY MK Equity","KLCCSS MK Equity","AMM MK Equity","MAHB MK Equity","IJM MK Equity","ROTH MK Equity","YTL MK Equity","WPRTS MK Equity","ASTRO MK Equity","SAPE MK Equity","UMWH MK Equity","FGV MK Equity","IOIPG MK Equity","UEMS MK Equity","BAB MK Equity","YTLP MK Equity","MMHE MK Equity","AAGB MK Equity","GAM MK Equity"
12/ Aug 11,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,,1,,,,1,,,1,1,,,,1,,,1,,1,1,,1
15/ Aug 11,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,,1,,,,1,,,1,1,,,,1,,,1,,1,1,,1
16/ Aug 11,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,,1,,,,1,,,1,1,,,,1,,,1,,1,1,,1
17/ Aug 11,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,,1,,,,1,,,1,1,,,,1,,,1,,1,1,,1
18/ Aug 11,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,,1,,,,1,,,1,1,,,,1,,,1,,1,1,,1
19/ Aug 11,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,,1,,,,1,,,1,1,,,,1,,,1,,1,1,,1
22/ Aug 11,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,,1,,,,1,,,1,1,,,,1,,,1,,1,1,,1
23/ Aug 11,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,,1,,,,1,,,1,1,,,,1,,,1,,1,1,,1
24/ Aug 11,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,,1,,,,1,,,1,1,,,,1,,,1,,1,1,,1
25/ Aug 11,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,,1,,,,1,,,1,1,,,,1,,,1,,1,1,,1
