"Dates","MISC MK Equity","PBK MK Equity","HAP MK Equity","KLK MK Equity","HLBK MK Equity","PTG MK Equity","TOPG MK Equity","GENM MK Equity","DIGI MK Equity","CIMB MK Equity","SUCB MK Equity","AXIATA MK Equity","PEP MK Equity","MAXIS MK Equity","HART MK Equity","SIME MK Equity","PCHEM MK Equity","NESZ MK Equity","DLG MK Equity","MAY MK Equity","TNB MK Equity","PETD MK Equity","T MK Equity","GENT MK Equity","IOI MK Equity","HLFG MK Equity","RHBBANK MK Equity","SDPL MK Equity","IHH MK Equity","PMAH MK Equity","MRDIY MK Equity","KLCCSS MK Equity","AMM MK Equity","MAHB MK Equity","IJM MK Equity","ROTH MK Equity","YTL MK Equity","WPRTS MK Equity","ASTRO MK Equity","SAPE MK Equity","UMWH MK Equity","FGV MK Equity","IOIPG MK Equity","UEMS MK Equity","BAB MK Equity","YTLP MK Equity","MMHE MK Equity","AAGB MK Equity","GAM MK Equity"
12-Aug-11,5.05673,1.83061,0.79832,16.51472,8.70812,8.94646,0.307,2.46015,1.9023,5.6192,0.30468,3.65612,11.92921,3.37187,0.54094,1.26384,4.60555,35.48069,1.01193,4.29365,3.98732,12.01437,2.72828,8.04514,2.83076,9.33148,4.82056,,,0.13845,,2.04168,4.45601,4.98335,2.24678,25.69227,0.84145,,,,5.33091,,,2.06662,2.30476,1.09361,5.84324,1.52993,2.53975
15-Aug-11,5.13734,1.83061,0.79223,16.78364,8.87399,9.0564,0.307,2.52396,1.91507,5.65388,0.30468,3.68585,11.97131,3.38457,0.5429,1.26814,4.75106,35.48069,1.04807,4.35955,4.06828,12.52989,2.72828,8.10912,2.87968,9.59944,4.89097,,,0.1436,,2.04168,4.50467,5.02322,2.28159,25.98677,0.85962,,,,5.33831,,,2.1401,2.33393,1.10477,5.86122,1.62749,2.5787
16-Aug-11,5.11536,1.83344,0.80442,16.68873,8.90163,9.31751,0.30408,2.52396,1.91762,5.64695,0.30284,3.70071,11.78886,3.39727,0.54487,1.271,4.73651,35.85496,1.07216,4.36969,3.96708,12.44397,2.74192,8.07713,2.88579,9.59944,4.9018,,,0.14434,,2.07972,4.49772,5.1189,2.27772,25.98677,0.84145,,,,5.36793,,,2.14929,2.33393,1.09919,5.96909,1.66296,2.53196
17-Aug-11,5.2033,1.83911,0.84098,16.87855,8.9431,9.30377,0.30349,2.5665,1.91762,5.65388,0.30284,3.70071,12.05552,3.40362,0.54487,1.27243,4.79472,35.85496,1.08019,4.40011,3.96708,12.45829,2.76238,8.02915,2.84911,9.67825,4.87472,,,0.14655,,2.07972,4.53247,5.18268,2.28159,25.91609,0.84145,,,,5.35312,,,2.14929,2.33393,1.11035,5.95111,1.65409,2.57091
18-Aug-11,5.34987,1.84477,0.82879,16.97347,8.87399,9.30377,0.30291,2.5665,1.91762,5.65388,0.3056,3.71557,12.28007,3.39727,0.54978,1.28103,4.78744,35.85496,1.08421,4.41025,3.86588,12.45829,2.7692,7.98117,2.78797,9.67825,4.88555,,,0.14581,,2.07972,4.54638,5.30228,2.30092,26.03389,0.82935,,,,5.51601,,,2.08499,2.31059,1.09919,5.91516,1.64966,2.5787
19-Aug-11,5.2033,1.83627,0.79832,16.95765,8.98456,9.29003,0.28887,2.53105,1.92278,5.50126,0.29459,3.71557,12.06955,3.39727,0.54487,1.26097,4.65648,36.00467,1.032,4.37476,3.74443,12.45829,2.7692,7.75725,2.7574,9.6152,4.85305,,,0.1436,,2.05436,4.45601,5.14282,2.26225,26.64645,0.81724,,,,5.34572,,,2.0207,2.28725,1.09361,5.82526,1.61418,2.53196
22-Aug-11,5.18864,1.82777,0.80442,16.81528,8.83252,9.23505,0.28653,2.44597,1.9202,5.39027,0.28541,3.70071,11.98534,3.43537,0.54487,1.2624,4.54007,35.91485,1.00791,4.37983,3.70395,12.38669,2.7692,7.6053,2.72071,9.50487,4.8368,,,0.13992,,2.01631,4.44905,5.13484,2.24292,26.46975,0.81119,,,,5.33831,,,1.99314,2.26975,1.08803,5.75334,1.60531,2.46963
23-Aug-11,5.33522,1.84477,0.80442,17.02092,8.84634,9.26254,0.2877,2.50269,1.92923,5.40414,0.27256,3.70071,12.06955,3.43537,0.5429,1.26097,4.53279,35.85496,1.0039,4.41025,3.66347,12.40101,2.79649,7.75725,2.83688,9.66249,4.86389,,,0.14213,,2.01631,4.51282,5.18268,2.25065,26.46975,0.8354,,,,5.33831,,,2.0207,2.28142,1.07688,5.88819,1.60531,2.46963
24-Aug-11,5.07139,1.85044,0.79223,16.86274,8.84634,9.27628,0.29063,2.41052,1.93052,5.27233,0.26614,3.6041,11.845,3.42902,0.5429,1.24664,4.58372,35.94479,0.9798,4.43052,3.64323,12.42267,2.85105,7.6133,2.85522,9.52063,4.82056,,,0.13992,,2.00997,4.51282,5.14282,2.24678,25.62159,0.81119,,,,5.33831,,,1.96559,2.28142,1.04898,5.90617,1.52993,2.43847
25-Aug-11,5.07872,1.85328,0.80442,16.98929,8.83252,9.27628,0.28653,2.41761,1.94083,5.02953,0.25879,3.44062,11.99938,3.44172,0.54487,1.26097,4.58372,36.03461,0.95972,4.42545,3.58926,12.71157,2.88516,7.82122,2.92247,9.56792,4.50641,,,0.13918,,2.00363,4.52698,5.10295,2.24292,26.19881,0.80513,,,,5.36053,,,1.92885,2.21724,1.05456,5.90617,1.53879,2.38394
