"Dates","MISC MK Equity","PBK MK Equity","HAP MK Equity","KLK MK Equity","HLBK MK Equity","PTG MK Equity","TOPG MK Equity","GENM MK Equity","DIGI MK Equity","CIMB MK Equity","SUCB MK Equity","AXIATA MK Equity","PEP MK Equity","MAXIS MK Equity","HART MK Equity","SIME MK Equity","PCHEM MK Equity","NESZ MK Equity","DLG MK Equity","MAY MK Equity","TNB MK Equity","PETD MK Equity","T MK Equity","GENT MK Equity","IOI MK Equity","HLFG MK Equity","RHBBANK MK Equity","SDPL MK Equity","IHH MK Equity","PMAH MK Equity","MRDIY MK Equity","KLCCSS MK Equity","AMM MK Equity","MAHB MK Equity","IJM MK Equity","ROTH MK Equity","YTL MK Equity","WPRTS MK Equity","ASTRO MK Equity","SAPE MK Equity","UMWH MK Equity","FGV MK Equity","IOIPG MK Equity","UEMS MK Equity","BAB MK Equity","YTLP MK Equity","MMHE MK Equity","AAGB MK Equity","GAM MK Equity"
12-Aug-11,5.02009,1.82777,0.80442,16.49891,8.69429,9.00143,0.30992,2.50978,1.9023,5.6192,0.30743,3.65612,11.73273,3.35917,0.54192,1.28533,4.51824,35.55555,1.02799,4.30379,4.00081,11.87117,2.7351,8.12511,2.83688,9.41029,4.77723,,,0.13624,,1.96559,4.39344,4.94348,2.26998,26.08101,0.82935,,,,5.33091,,,2.10336,2.32226,1.11035,5.8792,1.54766,2.55533
15-Aug-11,5.06406,1.83061,0.78613,16.53054,8.69429,8.93272,0.307,2.4956,1.9023,5.63307,0.30376,3.66355,11.92921,3.37822,0.54192,1.26814,4.64193,35.55555,1.032,4.30886,4.00081,12.02869,2.72828,8.07713,2.84299,9.20538,4.82056,,,0.13845,,2.07972,4.46296,4.95146,2.24678,25.70405,0.84751,,,,5.33091,,,2.08499,2.30476,1.09919,5.91516,1.53879,2.57091
16-Aug-11,5.13734,1.83911,0.80442,17.0051,8.91545,9.07014,0.30583,2.53105,1.91507,5.68163,0.30652,3.71557,11.98534,3.38457,0.54487,1.26814,4.80199,35.92982,1.06011,4.37476,4.08177,12.52989,2.76238,8.14111,2.92247,9.69402,4.89097,,,0.14508,,2.1241,4.51857,5.05511,2.30092,26.01033,0.85356,,,,5.33831,,,2.15847,2.3456,1.11035,5.93313,1.64522,2.60207
17-Aug-11,5.13002,1.83627,0.81051,17.05256,8.91545,9.31751,0.30408,2.50978,1.91762,5.64695,0.30284,3.71557,11.92921,3.40362,0.54781,1.28963,4.76562,35.85496,1.10429,4.37983,3.96708,12.45829,2.74874,8.07713,2.91024,9.69402,4.78264,,,0.14508,,2.07972,4.49772,5.1189,2.28159,25.98677,0.84145,,,,5.33091,,,2.15847,2.3281,1.11035,5.98707,1.6674,2.53196
18-Aug-11,5.19597,1.83911,0.83489,17.0051,8.83252,9.35874,0.30408,2.55232,1.92017,5.67469,0.30376,3.71557,12.13972,3.39727,0.54978,1.2839,4.83837,35.85496,1.09224,4.41532,3.96033,12.50125,2.7692,8.10912,2.85522,9.69402,4.8368,,,0.14729,,2.06704,4.54638,5.18268,2.30866,25.92787,0.84145,,,,5.35312,,,2.17684,2.32226,1.11035,5.96909,1.64079,2.58649
19-Aug-11,5.16666,1.83344,0.81051,16.62546,8.639,9.13886,0.2994,2.50269,1.90214,5.54982,0.30101,3.68585,11.92921,3.38457,0.53799,1.2753,4.65648,35.78011,1.06011,4.37983,3.83214,12.12893,2.74192,7.8772,2.76962,9.64673,4.82056,,,0.14287,,2.05436,4.4421,5.12687,2.27772,25.91609,0.81724,,,,5.33091,,,2.04825,2.28725,1.07688,5.82526,1.61418,2.53196
22-Aug-11,5.19597,1.82777,0.79223,16.95765,8.91545,9.29003,0.28887,2.4956,1.91504,5.46658,0.28908,3.65612,12.06955,3.37187,0.53996,1.26097,4.64193,36.00467,1.02799,4.34942,3.7107,12.45829,2.7692,7.74125,2.74517,9.6152,4.85305,,,0.14213,,2.01631,4.43515,5.10295,2.26225,26.50509,0.81724,,,,5.36793,,,2.00233,2.26391,1.08246,5.70839,1.58757,2.50859
23-Aug-11,5.18864,1.82777,0.80442,16.65709,8.77723,9.23505,0.29063,2.46015,1.92794,5.3972,0.28541,3.70071,12.05552,3.40997,0.54487,1.26957,4.56917,35.6304,1.01594,4.41025,3.7107,12.40101,2.7692,7.63729,2.73294,9.59944,4.82056,,,0.13771,,2.02265,4.46322,5.13484,2.24292,26.46975,0.81724,,,,5.40495,,,2.01151,2.26975,1.09361,5.77132,1.61418,2.46963
24-Aug-11,5.34987,1.84194,0.8166,16.89437,8.76341,9.27628,0.28653,2.50269,1.92923,5.45964,0.27531,3.69328,12.06955,3.42902,0.54487,1.26527,4.57645,35.92982,1.01193,4.42039,3.7107,12.42267,2.81013,7.83722,2.83688,9.69402,4.82056,,,0.14213,,2.01631,4.53407,5.17471,2.27772,26.62289,0.84145,,,,5.33831,,,2.03907,2.29892,1.08246,5.94212,1.58314,2.49301
25-Aug-11,5.13002,1.85611,0.80442,16.86274,8.8187,9.27628,0.29004,2.4247,1.93052,5.20296,0.26797,3.6264,11.845,3.42902,0.54094,1.24664,4.6201,36.03461,0.98783,4.43052,3.67022,12.466,2.83741,7.63729,2.86745,9.59944,4.82056,,,0.13992,,2.029,4.47031,5.10295,2.24678,26.38729,0.81724,,,,5.33091,,,1.99314,2.26391,1.06572,5.90617,1.54323,2.45405
